FPOI BLOCk,LAT,LONG
TIRURANGADI,11.01117,75.92357
TIRURANGADI,11.04540,75.86015
TIRURANGADI,11.10529,75.92574
TIRURANGADI,11.11902,75.89346
TIRURANGADI,11.03976,75.91185
TIRURANGADI,11.16443,75.87718
TIRURANGADI,11.14966,75.91266
TIRURANGADI,11.11877,75.84320
VENGARA,11.06758,75.94071
VENGARA,10.99103,75.97918
VENGARA,11.08242,75.97076
VENGARA,11.01380,75.99467
VENGARA,10.99387,75.98051
VENGARA,11.05150,75.98678
WANDOOR,11.23770,76.20597
WANDOOR,11.12684,76.23354
WANDOOR,11.16205,76.22853
WANDOOR,11.20114,76.17944
WANDOOR,11.16553,76.13139
WANDOOR,11.19521,76.23995
ALATHUR,10.64857,76.54400
ALATHUR,10.64687,76.56360
ALATHUR,10.61593,76.47050
ALATHUR,10.66210,76.52010
ALATHUR,10.57735,76.48932
ALATHUR,10.63407,76.45025
ALATHUR,10.67052,76.48093
ALATHUR,10.59612,76.48673
ALATHUR,10.58885,76.51685
ATTAPPADI,11.10409,76.65326
ATTAPPADI,11.15645,76.64495
ATTAPPADI,11.11695,76.74652
CHITTUR,10.64945,76.74292
CHITTUR,10.73100,76.78725
CHITTUR,10.73795,76.83111
CHITTUR,10.64943,76.76323
KOLLENGODE,10.61338,76.69138
KOLLENGODE,10.60672,76.76097
KOLLENGODE,10.64337,76.69355
KUZHALMANNAM,10.72721,76.65488
KUZHALMANNAM,10.76600,76.54355
KUZHALMANNAM,10.71972,76.60111
KUZHALMANNAM,10.73917,76.57548
KUZHALMANNAM,10.75314,76.48145
MALAMPUZHA,10.81150,76.64328
MALAMPUZHA,10.75813,76.75055
MALAMPUZHA,10.82164,76.66762
MALAMPUZHA,10.78735,76.67190
MALAMPUZHA,10.69848,76.68710
MALAMPUZHA,10.72988,76.73312
MALAMPUZHA,10.80315,76.62253
MALAMPUZHA,10.79634,76.74055
MANNARKAD,11.01083,76.34433
MANNARKAD,11.00363,76.51067
MANNARKAD,10.93367,76.50243
MANNARKAD,10.99688,76.39300
MANNARKAD,10.98988,76.44017
MANNARKAD,10.95805,76.50945
MANNARKAD,10.95907,76.35627
NEMMARA,10.60672,76.56047
NEMMARA,10.59352,76.60015
NEMMARA,10.63350,76.65827
OTTAPPALAM,10.82667,76.34805
OTTAPPALAM,10.83777,76.31083
OTTAPPALAM,10.78215,76.32482
OTTAPPALAM,10.83263,76.41618
OTTAPPALAM,10.77928,76.44303
PALAKKAD,10.82453,76.49682
PALAKKAD,10.74465,76.69363
PALAKKAD,10.78333,76.49973
PALAKKAD,10.80113,76.47687
PALAKKAD,10.83723,76.57888
PALAKKAD,10.79023,76.55862
PALAKKAD,10.76928,76.60810
PATTAMBI,10.86805,76.18888
PATTAMBI,10.86417,76.23193
PATTAMBI,10.83190,76.15652
PATTAMBI,10.86333,76.27860
PATTAMBI,10.80250,76.22027
PATTAMBI,10.80269,76.18125
PATTAMBI,10.87115,76.13978
PATTAMBI,10.84070,76.25278
PATTAMBI,10.88473,76.18903
SREEKRISHNAPURAM,10.88145,76.31020
SREEKRISHNAPURAM,10.87132,76.47177
SREEKRISHNAPURAM,10.92107,76.41888
SREEKRISHNAPURAM,10.86173,76.39157
SREEKRISHNAPURAM,10.90247,76.40613
SREEKRISHNAPURAM,10.85000,76.34417
SREEKRISHNAPURAM,10.88730,76.36620
TRITHALA,10.82995,76.05392
TRITHALA,10.73443,76.09250
TRITHALA,10.79282,76.05892
TRITHALA,10.76167,76.12055
TRITHALA,10.79342,76.09372
TRITHALA,10.73333,76.16252
TRITHALA,10.80103,76.12392
ELANTHOOR,9.34581,76.74527
ELANTHOOR,9.29192,76.72546
ELANTHOOR,9.33978,76.71040
ELANTHOOR,9.31342,76.75542
KOIPURAM,9.35214,76.72750
KOIPURAM,9.36569,76.62821
KOIPURAM,9.39662,76.68227
KOIPURAM,9.33855,76.69592
KONNI,9.20782,76.87371
KONNI,9.22805,76.85166
KONNI,9.28851,76.82664
KONNI,9.28847,76.79772
KONNI,9.23209,76.80195
KONNI,9.26331,76.92647
KONNI,9.22723,76.78145
MALLAPPALLY,9.40267,76.74273
MALLAPPALLY,9.45436,76.71637
MALLAPPALLY,9.44291,76.65518
PANDLAM,9.32176,76.66808
PANDLAM,9.24222,76.67242
PANDLAM,9.27539,76.70187
PANDLAM,9.22218,76.67810
PANDLAM,9.19710,76.73463
PANDLAM,9.21652,76.71355
PANDLAM,9.29634,76.70947
PULIKEEZHU,9.35940,76.58797
PULIKEEZHU,9.33435,76.53435
PULIKEEZHU,9.34179,76.51302
PULIKEEZHU,9.36665,76.54551
PULIKEEZHU,9.43511,76.61006
PULIKEEZHU,9.39266,76.61843
PULIKEEZHU,9.40416,76.63329
RANNI,9.33013,76.92513
RANNI,9.41343,76.85101
