GP,LAT,LONG
PAGI-II,27.96325,94.71547
PEGI/KAMDAK/EVEREST,27.92844,94.70913
PIRI,27.99513,94.83058
SAGO,27.98604,94.7997
SOI,27.98243,94.70094
BOJE DARAK,28.21549,94.61696
GEMO TALI/YAKITATO,28.33245,94.6742
KAMBU,28.26881,94.70186
KAMKI,28.28004,94.66733
KARBAK MOBU,28.21673,94.64845
KATO KANGU,28.24399,94.66131
NOMUK,28.23647,94.66558
POTOM BOGO,28.20897,94.59972
RAKSAP POYOM,28.22854,94.60264
SIRUTALI/SERILIKER,28.29955,94.64924
CHISI/ISHI,27.89205,94.76112
DALI,27.88542,94.77261
DARING-I,27.8768,94.82204
DARING-II,27.86478,94.80131
JIME ZIRDO,27.89853,94.86162
PADI-I,27.90493,94.74309
PADI-II,27.90119,94.75002
RILU-TAPO,27.84576,94.77929
BIGI/YARAMKO/SOI,27.83713,94.63394
BOMTE-TAKSO,27.8328,94.67994
GARU/NEW BOMTE,27.8177,94.71263
GENSI N/W/E,27.8441,94.62504
GENSI/BUMPEK,27.84213,94.62517
PINGI/PAIMORI/DIBU,27.81591,94.4849
SIBE/DITTER,27.76085,94.41887
SIBERITE,27.73479,94.36504
TALAMORI/SEKAR,27.81464,94.60227
TARAMORI/LITEMORI/ROME/LIDUK,27.81629,94.57309
YACHUNGI/TUTAK,27.79495,94.47408
DAMDA DEBUK,28.24406,94.91305
DAMDA-DEKU,28.25426,94.91711
JOMLO RAMPA,28.21467,94.82266
JOMLOBARI-MOBUK,28.21608,94.81019
LORGING MODEL,28.22199,94.86168
MORI GEBO,28.25238,94.82666
OLD LORGING/BEGING,28.24068,94.8715
PANGKENG MOLI,28.20842,94.79638
PANGKENG MONGKU,28.20954,94.79064
PESSING,28.20629,94.8116
SIPUNG ROING,28.19561,94.79975
BOGNE-I,28.3114,94.70443
BOGNE-II,28.3116,94.70331
KAYING,28.42264,94.67749
KERANG-I,28.35485,94.68496
KERANG-II,28.3529,94.68051
PAKSING,28.40767,94.6932
SAMPONG/TUYING SIRUM,28.39693,94.68224
TUMBIN,28.45504,94.68219
BALI,27.65227,94.67707
BALISORI,27.57945,94.46446
DIPA-I,27.70543,94.84361
DIPA-II,27.71006,94.84596
JIPU,27.66831,94.74014
KANGKU,27.57597,94.49936
KUNTOR,27.68565,94.78855
LIKA,27.6523,94.68609
LIPU-I,27.65956,94.71139
LIRU-I,27.66239,94.69145
NGOPI,27.60488,94.56284
SIJI,27.72837,94.71107
BOLE/KAYI,28.092,94.44893
DABA GAMLIN/LEGGI GAMLIN,28.08878,94.56319
ESSI GROUP,28.05596,94.5081
GAMKAK/GADIMESI,28.10768,94.57434
KAPEN/LIROMOBA ASC,28.07172,94.49648
POKTO/LIGO/BIRI ASC,28.10156,94.48026
RISE/DORDI/LEGI/BOPU,28.06266,94.48331
SARILIKAR/RONYA,28.08066,94.48909
YOMCHA/TAPIYOR,28.1312,94.57005
YONGAM/TAGO/GAMLIN/KADAI,28.1213,94.62637
