FPOI BLOCk,LAT,LONG
THALLADA,17.216222,80.461330
THALLADA,17.217037,80.422660
THALLADA,17.218384,80.422714
THALLADA,17.219564,80.453943
THALLADA,17.236930,80.459598
THALLADA,17.260409,80.435440
THIRUMALAYAPALEM,17.340528,79.958016
THIRUMALAYAPALEM,17.290240,79.856731
THIRUMALAYAPALEM,17.295455,80.031982
THIRUMALAYAPALEM,17.299588,79.863876
THIRUMALAYAPALEM,17.300001,79.862198
THIRUMALAYAPALEM,17.301802,79.896360
THIRUMALAYAPALEM,17.302133,79.890291
THIRUMALAYAPALEM,17.305095,79.930763
THIRUMALAYAPALEM,17.309016,80.033504
THIRUMALAYAPALEM,17.309840,79.831688
THIRUMALAYAPALEM,17.310458,80.033395
THIRUMALAYAPALEM,17.321342,79.969343
THIRUMALAYAPALEM,17.322003,79.968182
THIRUMALAYAPALEM,17.323464,79.999855
THIRUMALAYAPALEM,17.323886,80.004212
THIRUMALAYAPALEM,17.328829,79.936681
THIRUMALAYAPALEM,17.330513,79.930577
THIRUMALAYAPALEM,17.338375,79.903264
THIRUMALAYAPALEM,17.342835,79.958364
THIRUMALAYAPALEM,17.343206,79.959165
THIRUMALAYAPALEM,17.365327,79.931082
THIRUMALAYAPALEM,17.369271,79.921658
THIRUMALAYAPALEM,17.372265,79.967184
THIRUMALAYAPALEM,17.372347,79.967314
THIRUMALAYAPALEM,17.379960,79.901915
THIRUMALAYAPALEM,17.387057,79.981057
VEMSOOR,17.080346,80.841931
VEMSOOR,17.078488,80.841365
VEMSOOR,17.109750,80.699623
VEMSOOR,17.065781,80.802380
VEMSOOR,17.073628,80.835515
VEMSOOR,17.077564,80.841440
VEMSOOR,17.094968,80.803627
VEMSOOR,17.102937,80.861512
VEMSOOR,17.111855,80.698439
VEMSOOR,17.115771,80.729768
VEMSOOR,17.115980,80.796636
VEMSOOR,17.119580,80.715754
VEMSOOR,17.126348,80.706866
VEMSOOR,17.127905,80.794363
VEMSOOR,17.134180,80.791040
VEMSOOR,17.141433,80.785315
VENKATAPURAM,18.302520,80.551762
VENKATAPURAM,18.172228,80.703412
VENKATAPURAM,18.205477,80.669658
VENKATAPURAM,18.233285,80.641766
VENKATAPURAM,18.264705,80.605382
VENKATAPURAM,18.288924,80.590332
VENKATAPURAM,18.300427,80.551543
VENKATAPURAM,18.300646,80.554097
VENKATAPURAM,18.309880,80.550084
WAZEED,18.387009,80.528795
WAZEED,18.435982,80.502991
WAZEED,18.440355,80.476350
WAZEED,18.462872,80.493350
WAZEED,18.485694,80.449835
WAZEED,18.533218,80.394492
WYRA,17.196389,80.355194
WYRA,17.074778,80.324611
WYRA,17.076902,80.325646
WYRA,17.077195,80.373617
WYRA,17.100733,80.363399
WYRA,17.100818,80.338492
WYRA,17.104076,80.323525
WYRA,17.105097,80.338220
WYRA,17.109717,80.404062
WYRA,17.121567,80.336295
WYRA,17.122591,80.404400
WYRA,17.122937,80.349402
WYRA,17.134019,80.394530
WYRA,17.154733,80.380701
WYRA,17.154927,80.341754
WYRA,17.160932,80.399557
WYRA,17.179133,80.387117
WYRA,17.180369,80.400451
WYRA,17.196556,80.355168
YELLANDU,17.547038,80.352606
YELLANDU,17.558738,80.352223
YELLANDU,17.568936,80.248285
YELLANDU,17.569193,80.245459
YELLANDU,17.577662,80.359261
YELLANDU,17.585111,80.331110
YELLANDU,17.642531,80.298049
YELLANDU,17.710539,80.318830
YELLANDU,17.724795,80.344631
YERRUPALEM,16.928242,80.482983
YERRUPALEM,16.913272,80.470550
YERRUPALEM,16.907334,80.458245
YERRUPALEM,16.896106,80.458060
YERRUPALEM,16.880386,80.456869
YERRUPALEM,16.847072,80.465830
YERRUPALEM,16.838929,80.458542
YERRUPALEM,16.825193,80.471188
YERRUPALEM,16.825401,80.471694
YERRUPALEM,16.801893,80.490781
YERRUPALEM,16.775759,80.504138
YERRUPALEM,16.834698,80.508139
YERRUPALEM,16.800381,80.496552
YERRUPALEM,16.822123,80.471940
YERRUPALEM,16.831754,80.516614
YERRUPALEM,16.831995,80.518018
YERRUPALEM,16.849350,80.548949
YERRUPALEM,16.859939,80.549484
YERRUPALEM,16.860897,80.456718
YERRUPALEM,16.863737,80.476411
YERRUPALEM,16.879136,80.456783
YERRUPALEM,16.882371,80.479477
YERRUPALEM,16.895995,80.489110
YERRUPALEM,16.896503,80.458030
YERRUPALEM,16.907254,80.457993
YERRUPALEM,16.913345,80.471194
YERRUPALEM,16.921024,80.501554
YERRUPALEM,16.937746,80.510494
ARMUR,18.791630,78.286070
ARMUR,18.789944,78.288297
ARMUR,18.797512,78.248767
ARMUR,18.781495,78.300096
ARMUR,18.766649,78.256320
ARMUR,18.775378,78.296976
ARMUR,18.777317,78.297818
ARMUR,18.785530,78.302307
ARMUR,18.799406,78.237518
ARMUR,18.800726,78.222972
ARMUR,18.808272,78.331316
ARMUR,18.808718,78.196262
ARMUR,18.825578,78.237123
ARMUR,18.829116,78.232268
ARMUR,18.833670,78.279234
ARMUR,18.836556,78.277027
ARMUR,18.845630,78.218630
ARMUR,18.849903,78.299228
ARMUR,18.855787,78.296472
ARMUR,18.857628,78.295283
ARMUR,18.860050,78.205300
ARMUR,18.862814,78.268774
ARMUR,18.872246,78.266147
BALKONDA,18.869618,78.360622
BALKONDA,18.839724,78.324367
BALKONDA,18.110410,78.380110
BALKONDA,18.827136,78.323740
BALKONDA,18.842990,78.338472
BALKONDA,18.860358,78.379793
BALKONDA,18.869618,78.360622
BALKONDA,18.872173,78.333770
BALKONDA,18.878443,78.319647
BALKONDA,18.891399,78.348416
BALKONDA,18.895039,78.351414
BALKONDA,18.899762,78.417728
BALKONDA,18.899978,78.434439
BALKONDA,18.900455,78.436914
BALKONDA,18.903209,78.339369
BALKONDA,18.911493,78.357239
BALKONDA,18.911528,78.402813
BALKONDA,18.916280,78.358780
BALKONDA,18.929682,78.365311
BALKONDA,18.943268,78.368942
BALKONDA,18.946015,78.369836
BALKONDA,18.953070,78.402111
BALKONDA,18.968515,78.409197
BALKONDA,18.984651,78.389522
BANSWADA,18.349794,77.877162
BANSWADA,18.394732,77.879363
BANSWADA,18.331989,77.914487
BANSWADA,18.367820,77.873535
BANSWADA,18.379800,77.876938
BANSWADA,18.388016,77.893746
BANSWADA,18.404235,77.882683
BANSWADA,18.405086,77.847961
BANSWADA,18.408387,77.882739
BANSWADA,18.412039,77.907339
BANSWADA,18.412602,77.885643
BANSWADA,18.415550,77.912257
BHEEMGAL,18.606789,78.461934
BHEEMGAL,18.703693,78.381040
BHEEMGAL,18.606785,78.487841
BHEEMGAL,18.691670,78.413793
BHEEMGAL,18.624930,78.625289
BHEEMGAL,18.634106,78.423614
BHEEMGAL,18.639173,78.574038
BHEEMGAL,18.640647,78.457854
BHEEMGAL,18.643083,78.563152
BHEEMGAL,18.647041,78.482886
BHEEMGAL,18.653377,78.481806
