FPOI BLOCk,LAT,LONG,LAT1,LONG1
MADHIRA,16.890857,80.399286,16.87713,80.36524
MADHIRA,16.893260,80.356244,17.03678,80.36045
MADHIRA,16.893627,80.358645,16.94616,80.41306
MADHIRA,16.933703,80.365082,16.93848,80.41282
MADHIRA,16.937988,80.364793,16.96545,80.36752
MADHIRA,16.938038,80.415928,16.94003,80.43017
MADHIRA,16.938760,80.413928,16.94738,80.35385
MADHIRA,16.940030,80.430172,16.92045,80.42014
MADHIRA,16.940809,80.413675,16.89280,80.35367
MADHIRA,16.944504,80.412950,16.93345,80.45335
MADHIRA,16.950175,80.373531,16.99906,80.35756
MADHIRA,16.954155,80.391760,16.85337,80.41950
MADHIRA,16.965576,80.367215,16.97082,80.34399
MUDIGONDA,17.013606,80.115170,17.10097,80.14343
MUDIGONDA,17.054918,80.121334,17.05935,80.12310
MUDIGONDA,17.071238,80.152472,17.14382,80.11052
MUDIGONDA,17.094251,80.128356,17.07324,80.14920
MUDIGONDA,17.110976,80.149919,17.14891,80.06752
MUDIGONDA,17.118672,80.108256,17.08741,80.12637
MUDIGONDA,17.121269,80.137470,17.17498,80.03781
MUDIGONDA,17.124341,80.133418,17.17382,80.12154
MUDIGONDA,17.143821,80.110521,17.18263,80.02049
MUDIGONDA,17.148905,80.067519,17.11739,80.11685
MUDIGONDA,17.151082,80.068836,17.00751,80.14119
MUDIGONDA,17.158259,80.115414,17.17286,80.06875
MUDIGONDA,17.168333,80.119354,17.17902,80.09488
MUDIGONDA,17.171136,80.120983,17.12127,80.13747
MUDIGONDA,17.172864,80.068745,17.11294,80.10632
MUDIGONDA,17.173337,80.067451,17.17183,80.15504
MUDIGONDA,17.174977,80.037808,17.02248,80.15655
MUDIGONDA,17.178332,80.088309,17.16162,80.10935
MUDIGONDA,17.181453,80.091055,17.01108,80.11360
MULAKALAPALLY,17.441408,80.778619,17.42490,80.76453
MULAKALAPALLY,17.490807,80.844490,17.43631,80.86511
MULAKALAPALLY,17.502285,80.833227,17.50711,80.83425
MULAKALAPALLY,17.503632,80.829418,17.54687,80.87527
MULAKALAPALLY,17.546866,80.875268,17.54425,80.75827
NELAKONDAPALLY,17.101113,80.048391,17.14056,80.01255
NELAKONDAPALLY,17.075713,80.006631,17.10545,80.07987
NELAKONDAPALLY,16.996440,80.068208,16.99003,80.08464
NELAKONDAPALLY,17.007085,80.074368,17.14373,80.03083
NELAKONDAPALLY,17.016033,80.056559,17.06629,80.07045
NELAKONDAPALLY,17.044594,80.072350,17.09124,80.02072
NELAKONDAPALLY,17.045450,80.071402,17.01603,80.05656
NELAKONDAPALLY,17.062917,80.056333,17.12111,79.99318
NELAKONDAPALLY,17.075107,80.007054,17.04459,80.07235
NELAKONDAPALLY,17.076037,80.086666,17.14100,80.06457
NELAKONDAPALLY,17.079996,80.043215,16.98264,80.06389
NELAKONDAPALLY,17.087607,80.047525,17.12407,80.02810
NELAKONDAPALLY,17.091243,80.020719,17.12519,80.01939
NELAKONDAPALLY,17.091596,80.018741,17.08761,80.04753
NELAKONDAPALLY,17.099959,80.052658,17.09984,80.00973
NELAKONDAPALLY,17.100275,80.047459,17.04909,80.09615
NELAKONDAPALLY,17.109976,80.068942,17.15952,79.98245
NELAKONDAPALLY,17.121675,80.024294,17.12038,80.07410
NELAKONDAPALLY,17.124074,80.028097,17.07604,80.08667
NELAKONDAPALLY,17.132441,80.009891,17.09996,80.05266
NELAKONDAPALLY,17.134215,80.008022,17.05935,80.03135
NELAKONDAPALLY,17.137712,80.003470,17.14334,79.99991
NELAKONDAPALLY,17.142436,79.999785,17.07511,80.00705
NELAKONDAPALLY,17.148257,79.992153,17.01227,80.08258
PALWANCHA,17.600865,80.703120,17.58616,80.83959
PALWANCHA,17.602013,80.729083,17.60573,80.75115
PALWANCHA,17.603804,80.789368,17.60363,80.78946
PALWANCHA,17.605727,80.751148,17.64449,80.72222
PALWANCHA,17.605751,80.746501,17.64218,80.67737
PALWANCHA,17.632575,80.716386,17.62537,80.74998
PALWANCHA,17.633463,80.717429,17.63346,80.71743
PALWANCHA,17.642176,80.677370,17.58745,80.77172
PALWANCHA,17.682576,80.671374,17.77776,80.67562
PALWANCHA,17.777762,80.675622,17.68181,80.66965
PENUBALLY,17.207141,80.659930,17.19451,80.65673
PENUBALLY,17.208372,80.675365,17.28928,80.70326
PENUBALLY,17.163700,80.653020,17.24178,80.60470
PENUBALLY,17.151223,80.684336,17.13461,80.61726
PENUBALLY,17.157366,80.671322,17.11047,80.65927
PENUBALLY,17.158842,80.672653,17.22705,80.63573
PENUBALLY,17.162583,80.652690,17.22046,80.59345
PENUBALLY,17.195699,80.651585,17.25563,80.67934
PENUBALLY,17.199721,80.623733,17.15405,80.68926
PENUBALLY,17.201970,80.726383,17.16258,80.65269
PENUBALLY,17.205715,80.712194,17.16385,80.62730
PENUBALLY,17.206094,80.661746,17.20722,80.73538
PENUBALLY,17.208133,80.673420,17.25766,80.66797
PENUBALLY,17.219616,80.668765,17.21326,80.70568
PENUBALLY,17.220990,80.626238,17.15526,80.67777
PENUBALLY,17.233333,80.676181,17.21603,80.66460
PENUBALLY,17.239117,80.620378,17.21195,80.67687
PENUBALLY,17.255498,80.679458,17.20210,80.62172
PENUBALLY,17.301397,80.693256,0.00000,0.00000
PINAPAKA,18.026494,80.707291,18.04417,80.49262
PINAPAKA,18.019681,80.591829,18.02255,80.58498
PINAPAKA,18.020425,80.590610,18.05099,80.73809
PINAPAKA,18.024309,80.689753,18.13530,80.64298
PINAPAKA,18.033386,80.717041,18.05025,80.72158
PINAPAKA,18.035841,80.578164,18.10069,80.69110
PINAPAKA,18.036912,80.578924,18.03584,80.57816
PINAPAKA,18.039844,80.710635,18.07054,80.69278
PINAPAKA,18.042037,80.731067,18.04246,80.51376
PINAPAKA,18.042588,80.514282,18.02431,80.68927
PINAPAKA,18.043961,80.492632,18.03870,80.68456
PINAPAKA,18.065020,80.471344,17.96437,80.59020
PINAPAKA,18.078108,80.692142,18.06475,80.47124
PINAPAKA,18.079460,80.691280,18.03156,80.57614
PINAPAKA,18.080396,80.716336,18.08040,80.71634
PINAPAKA,18.094124,80.687700,18.02636,80.70752
SATHUPALLY,17.210173,80.893571,17.19702,80.88556
SATHUPALLY,17.134262,80.857045,17.27593,80.86331
SATHUPALLY,17.176102,80.873840,17.26150,80.77550
SATHUPALLY,17.176786,80.836409,17.21143,80.89414
SATHUPALLY,17.177761,80.876894,17.23087,80.84545
SATHUPALLY,17.186238,80.805696,17.15773,80.86723
SATHUPALLY,17.197329,80.887395,17.21352,80.77797
SATHUPALLY,17.199700,80.897800,17.17735,80.86522
SATHUPALLY,17.205066,80.846296,17.17795,80.89334
SATHUPALLY,17.207111,80.776820,17.22598,80.88260
SATHUPALLY,17.211425,80.894141,17.16467,80.80640
SATHUPALLY,17.212837,80.829510,17.26586,80.84735
SATHUPALLY,17.225979,80.882600,17.15620,80.83547
SATHUPALLY,17.233658,80.883560,17.17679,80.83641
SATHUPALLY,17.256956,80.775749,17.13536,80.85731
SATHUPALLY,17.324297,80.783351,17.32606,80.78356
SINGARENI,17.462769,80.204854,17.55037,80.30715
SINGARENI,17.467254,80.397579,17.46725,80.39757
SINGARENI,17.467965,80.272408,17.46965,80.39975
SINGARENI,17.480409,80.231898,17.47186,80.22686
SINGARENI,17.487572,80.308891,17.48209,80.23341
SINGARENI,17.490327,80.417219,17.48183,80.28267
SINGARENI,17.490795,80.311922,17.45846,80.21379
SINGARENI,17.508814,80.270782,17.49080,80.31192
SINGARENI,17.510532,80.273516,17.53133,80.23246
SINGARENI,17.512943,80.317820,17.48059,80.34183
SINGARENI,17.524673,80.317741,17.53734,80.26062
SINGARENI,17.548176,80.320960,17.56193,80.30109
SINGARENI,17.550367,80.307154,17.49188,80.41808
TEKULAPALLY,17.551658,80.443550,17.56432,80.44921
TEKULAPALLY,17.557272,80.466560,17.59911,80.45824
TEKULAPALLY,17.559646,80.478056,17.67693,80.44057
TEKULAPALLY,17.560927,80.501162,17.66058,80.53947
TEKULAPALLY,17.563422,80.516339,17.57082,80.57151
TEKULAPALLY,17.570796,80.571425,17.68550,80.45796
TEKULAPALLY,17.577664,80.582895,17.58574,80.50484
TEKULAPALLY,17.578494,80.583039,17.53784,80.49740
TEKULAPALLY,17.597598,80.466939,17.58610,80.58295
TEKULAPALLY,17.658779,80.541656,17.56279,80.51442
TEKULAPALLY,17.673406,80.440182,17.55941,80.47727
THALLADA,17.216933,80.422684,17.26041,80.43544
THALLADA,17.116184,80.446677,17.09885,80.44460
