FPOI BLOCk,LAT,LONG,LAT,LONG
MUKHATHALA,8.91590,76.63329,8.90638,76.63660
MUKHATHALA,8.90714,76.69161,8.84064,76.64693
MUKHATHALA,8.89706,76.66752,8.89888,76.66656
OACHIRA,9.06774,76.49593,9.11118,76.50912
OACHIRA,9.09355,76.50475,9.13219,76.51289
OACHIRA,9.13204,76.51247,9.08905,76.56113
OACHIRA,9.08820,76.56372,9.06729,76.55951
PATHANAPURAM,9.08753,76.85554,8.98626,76.90960
PATHANAPURAM,9.05686,76.91396,9.08819,76.85577
PATHANAPURAM,9.02781,76.86259,9.07686,76.79654
SASTHAMCOTTAH,9.06300,76.67410,9.06075,76.67655
SASTHAMCOTTAH,9.04175,76.59039,9.04193,76.58953
SASTHAMCOTTAH,9.08025,76.67252,9.07494,76.66066
SASTHAMCOTTAH,9.04380,76.62425,9.04366,76.62653
SASTHAMCOTTAH,9.10112,76.61725,9.10275,76.61973
SASTHAMCOTTAH,9.07453,76.60619,9.07476,76.60453
VETTIKKAVALA,9.05649,76.73355,9.05583,76.73150
VETTIKKAVALA,9.01391,76.82562,9.01305,76.82478
VETTIKKAVALA,9.02989,76.78612,9.02993,76.78616
VETTIKKAVALA,9.05528,76.69531,9.05426,76.69821
VETTIKKAVALA,8.93380,76.81520,8.93354,76.81649
VETTIKKAVALA,8.98692,76.83562,8.99392,76.83058
ERATTUPETTA,9.68607,76.78127,9.68760,76.77983
ERATTUPETTA,9.67382,76.81278,9.66118,76.77890
ERATTUPETTA,9.67415,76.79495,9.74787,76.78493
ERATTUPETTA,9.69928,76.81770,9.67360,76.81360
ERATTUPETTA,9.78197,76.76343,9.67340,76.79558
ERATTUPETTA,9.66828,76.77950,9.58972,76.52047
ERATTUPETTA,9.74510,76.78337,9.72322,76.80955
ERATTUPETTA,9.70032,76.75830,9.70693,76.76142
ETTUMANOOR,9.63052,76.50955,9.64288,76.50882
ETTUMANOOR,9.66763,76.53280,9.66915,76.53818
ETTUMANOOR,9.61972,76.51052,9.61243,76.49832
ETTUMANOOR,9.67362,76.55717,9.67048,76.55562
ETTUMANOOR,9.59503,76.43052,9.68683,76.50502
KADUTHURUTHY,9.76520,76.49247,9.76555,76.49298
KADUTHURUTHY,9.71373,76.47557,9.70842,76.47678
KADUTHURUTHY,9.82767,76.49925,9.82790,76.49830
KADUTHURUTHY,9.79017,76.52352,9.78990,76.52325
KADUTHURUTHY,9.78675,76.45223,9.78535,76.44672
KADUTHURUTHY,9.82845,76.45095,9.83002,76.45195
KANJIRAPPALLY,9.48108,76.84618,9.48118,76.84557
KANJIRAPPALLY,9.55450,76.79018,9.55353,76.78997
KANJIRAPPALLY,9.58425,76.88312,9.58450,76.88683
KANJIRAPPALLY,9.46810,76.96232,9.46710,76.96315
KANJIRAPPALLY,9.48962,76.75312,9.48378,76.76747
KANJIRAPPALLY,9.53770,76.88682,9.53830,76.88592
KANJIRAPPALLY,9.56982,76.81540,9.56710,76.81385
LALAM,9.70040,76.72803,9.70087,76.72820
LALAM,9.76497,76.70303,9.77950,76.70163
LALAM,9.72403,76.67908,9.73738,76.66975
LALAM,9.65737,76.66348,9.65617,76.66333
LALAM,9.68353,76.72208,9.68297,76.72232
LALAM,9.69255,76.65760,9.69277,76.65715
MADAPPALLY,9.48060,76.59700,9.48125,76.59723
MADAPPALLY,9.42530,76.56260,9.42632,76.56142
MADAPPALLY,9.44488,76.57367,9.43827,76.56495
MADAPPALLY,9.51930,76.57050,9.52180,76.57267
MADAPPALLY,9.45955,76.55370,9.46057,76.55210
PALLOM,9.63262,76.60505,9.59248,76.43558
