GP_NAME,LAT,LONG
CHATHAMANGALAM,11.31832,75.94547
PERUVAYAL,11.26430,75.88890
MAVOOR,11.26092,75.95198
KODIYATHUR,11.28442,75.98728
MOKKOM,11.32113,75.99709
KARASSERY,11.31657,75.99786
KUNNMANGALAM,11.30510,75.87842
KURUVATTUR,11.31902,75.85161
KUNNUMMAL,11.67711,75.70029
NARIPETTA,11.70864,75.72232
KUTTIADI,11.65518,75.74936
KAYAKKODI,11.66755,75.75328
KAVILUMPARA,11.67716,75.77903
MARUTHONKARA,11.64242,75.80384
VELAM,11.62156,75.70753
NADAPURAM,11.68924,75.66520
THIKKOTI,11.49495,75.62721
PAYYOLI,11.51533,75.62183
THURAYUR,11.52657,75.65598
MEPPAYUR,11.53065,75.71102
KEEZHARIYUR,11.49912,75.69312
CHEMANCHERY,11.39431,75.72719
CHENGOTTUKAVU,11.42257,75.71240
MOODADI,11.47038,75.65240
ARIKKULAM,11.49247,75.71650
KOOTHALI,11.58731,75.76554
CHANGAROTH,11.59995,75.76506
PERAMBRA,11.55872,75.75800
CHERUVANNUR,11.56398,75.71082
NOCHAD,11.53689,75.77095
KAYANNA,11.53373,75.79954
CHAKKITTAPARA,11.57611,75.81690
MANIYUR,11.55449,75.64196
AYANCHERY,11.64625,75.66491
THIRUVALLOOR,11.58856,75.67352
EDACHERI,11.66128,75.61514
VANIMEL,11.71876,75.69863
VALAYAM,11.72943,75.67436
CHEKIAD,11.72865,75.63877
THUNERI,11.70862,75.63435
PURAMERI,11.67131,75.63498
VILLIAPPALLY,11.62441,75.62704
CHORODE,11.62533,75.57822
ONJIYAM,11.65087,75.56264
AZHIYUR,11.68811,75.54280
ERAMALA,11.65228,75.60363
AREEKODE,11.23451,76.05001
CHEKKODE,11.21405,75.98621
KAVANNUR,11.19691,76.06502
KIZHUPARAMBA,11.24891,76.02349
KUZHIMANNA,11.17896,76.00269
PULPATTA,11.15839,76.06194
URUNGATTIRI,11.24770,76.05003
MUDUVALUR,11.19921,75.98194
AMARAMBALAM,11.24395,76.29854
CHOKKAD,11.22696,76.32876
EDAPPATTA,11.07440,76.28880
KALIKAVU,11.17090,76.31856
KARULAI,11.28397,76.29669
KARUVARAKUNDU,11.12494,76.33796
THUVVUR,11.11511,76.28483
CHERUKAVU,11.17217,75.91782
KONDOTTY,11.15226,75.95562
NEDIYIRUPU,11.14230,75.97252
PULIKKAL,11.16944,75.92659
VAZHAKKAD,11.24625,75.95168
VAZHAYUR,11.20720,75.87699
MORAYUR,11.13803,76.01732
CHELEMBRA,11.16352,75.87934
PALLIKKAL,11.15066,75.91457
ATHAVANAD,10.92246,76.03389
EDAYOOR,10.90492,76.09740
IRIMBILAYAM,10.87335,76.10110
KUTTIPPURAM,10.84720,76.03615
MARAKKARA,10.95096,76.03405
VALANCHERRY,10.89034,76.07048
ANAKKAYAM,11.08944,76.12028
PONMALA,11.00100,76.05658
POOKOTTUR,11.10485,76.05910
URAKAM,11.06325,76.01538
VENGARA,11.05027,75.98460
KODUR,11.01986,76.07394
KOOTTILANGADI,11.05641,76.10925
KURUVA,10.98598,76.10785
MAKKARAPARAMBA,11.01833,76.12084
MANKADA,11.03728,76.16072
MOORKKANAD,10.92719,76.13337
PUZHAKKATTIRI,10.97814,76.15541
PULAMANTHOLE,10.90140,76.19058
CHALIYAR,11.31370,76.20585
CHUNGATHARA,11.33632,76.27695
EDAKKARA,11.35940,76.30699
MOOTHADEM,11.32565,76.33190
POTHUKKAL,11.40444,76.25147
VAZHIKKADAVU,11.38054,76.34153
ALIPARAMBA,10.93523,76.27051
ANGADIPURAM,10.97175,76.20081
ELAMKULAM,10.90948,76.22588
KEEZHATTUR,11.05308,76.23134
MELATTUR,11.05947,76.27488
THAZHEKODE,10.95385,76.31938
VETTATHUR,11.01873,76.27933
ALAMCODE,10.73668,76.02954
MARANCHERI,10.73373,75.97512
NANNAMUKKU,10.71654,76.01787
PERUMPADAPPA,10.69930,75.98876
VELIYANCODE,10.72530,75.97798
EDAPPAL,10.78586,76.00160
KALADY,10.82694,75.99072
TAVANUR,10.84124,75.99414
VATTAMKULAM,10.78270,76.02345
KALPAKANCHERI,10.93853,75.99082
CHERIYAMUNDAM,10.94902,75.94813
NIRAMARUTHOOR,10.92581,75.90057
OZHUR,10.98073,75.91859
PERUMANNAKLARI,10.98209,75.97800
PONMUNDAM,10.95342,75.94628
TANALUR,10.95195,75.90903
TANUR,10.97724,75.88041
VALAVANNUR,10.93983,75.97592
MANGALAM,10.84954,75.92126
PURATHUR,10.81569,75.92442
THALAKKAD,10.88450,75.93237
THIRUNAVAYA,10.86509,75.98213
TRIPRANGODE,10.84861,75.94140
VETTOM,10.87573,75.90723
MOONNIYUR,11.08070,75.90207
NANNAMBRA,11.01015,75.92390
PARAPPANANGADI,11.04806,75.85901
PERUVALLUR,11.10579,75.92785
THENHIPPALAM,11.11903,75.89312
TIRURANGADI,11.04349,75.92232
VALLIKKUNNU,11.12051,75.84644
OTHUKKUNGAL,11.02697,76.03084
ABDUL RAHIMAN NAGAR,11.07124,75.93549
EDARIKODE,10.99363,75.97940
KANNAMANGALAM,11.07899,75.97633
PARAPPUR,11.01364,75.99167
THENNALA,10.99671,75.96000
EDAVANNA,11.21528,76.13942
MAMBAD,11.24487,76.18154
PANDIKKAD,11.09562,76.22250
PORUR,11.16296,76.23030
THIRUVALI,11.19982,76.17777
TRIKKALANGODE,11.16295,76.12907
WANDOOR,11.19645,76.23340
ALATHUR,10.64430,76.54782
ERIMAYUR,10.64693,76.56622
KANNAMBARA,10.61698,76.46122
KAVASERY,10.65528,76.51208
KIZHAKKANCHERRY,10.57352,76.49622
PUDUCODE,10.63398,76.45028
TARUR,10.67113,76.47267
VADAKKANCHERI,10.59213,76.48315
VANDAZHY,10.58715,76.51865
AGALI,11.11303,76.65425
PUDUR,11.15383,76.64457
SHOLAYUR,11.11773,76.74632
PATTENCHERRY,10.64983,76.73800
NALLEPPILLY,10.73018,76.78632
VADAKARAPATHY,10.80937,76.84603
ERUTHAMPATHY,10.73580,76.86198
KOZHINJAMPARA,10.73813,76.83420
PERUMATTY,10.64943,76.76323
KODUVAYUR,10.68858,76.65675
KOLLENGODE,10.61338,76.69138
MUTHALAMADA,10.60670,76.76192
PUTHUNAGARAM,10.67953,76.68843
VADAVANNUR,10.64333,76.69358
KANNADI,10.73057,76.64022
KOTTAYI,10.76558,76.54353
KUTHANOOR,10.73255,76.54420
KUZHALMANNAM,10.71010,76.58950
MATHUR,10.74085,76.57273
PERINGOTTUKURISSI,10.75635,76.48928
THENKURISSI,10.69103,76.62225
AKATHETHARA,10.81540,76.65095
ELAPPULLY,10.75799,76.75195
MALAMPUZHA,10.82207,76.66835
MARUTHARODE,10.78448,76.67552
PERUVEMBA,10.69630,76.68843
POLPULLY,10.73102,76.73013
PUDUPPARIYARAM,10.80383,76.62163
PUDUSSERI,10.79747,76.76468
KANJIRAMPUZHA,11.00348,76.51288
KARAKURISSI,10.93815,76.50642
KARIMBA,10.91005,76.52693
KOTTAPPADAM,10.99615,76.39265
KUMARAMPUTHUR,10.98685,76.43212
MANNARKKAD,10.99153,76.45460
TACHAMPARA,10.96103,76.50538
THACHANATTUKARA,10.95672,76.36148
THENKARA,11.01330,76.48368
"Alanellur Panchayath
",11.01240,76.33615
AYILOOR,10.57877,76.57338
ELAVANCHERRY,10.60383,76.64447
MELARCODE,10.60793,76.56205
NELLIAMPATHY,10.52585,76.67402
NEMMARA,10.59342,76.60010
PALLASSANA,10.63350,76.65827
ANANGANADI,10.82950,76.34515
CHALAVARA,10.83700,76.30822
VANIYAMKULAM,10.77878,76.32368
AMBALAPARA,10.83235,76.41638
LAKKIDI-PERUR,10.77733,76.44423
KERALASSERY,10.82732,76.49823
KODUMBA,10.74810,76.69015
KONGAD,10.85887,76.51457
MANKARA,10.78991,76.50003
MANNUR,10.80205,76.47372
MUNDUR,10.83816,76.58007
PARLI,10.79665,76.56263
PIRAYARI,10.76967,76.60625
KOPPAM,10.86393,76.18620
KULUKKALLUR,10.86468,76.23197
MUTHUTHALA,10.82812,76.15260
NELLAYA,10.86395,76.27698
ONGALLUR,10.80388,76.21967
PARUDUR,10.84042,76.11207
PATTAMBI,10.80273,76.18155
THIRUVEGAPPURAM,10.87210,76.13702
VALLAPUZHA,10.83552,76.25263
VILAYUR,10.88930,76.19038
"Pattambi Block Panchayath
",10.80292,76.18035
CHERPLACHERRY,10.87850,76.31293
KADAMPAZHIPURAM,10.87017,76.46523
KARIMPUZHA,10.92107,76.41880
POOKKOTTUKAVU,10.85952,76.39148
SREEKRISHNAPURAM,10.90542,76.40895
TRIKKIDERI,10.84650,76.34355
VELLINEZHI,10.88723,76.36565
ANAKKARA,10.83102,76.04885
CHALISSERI,10.73765,76.08827
KAPPUR,10.78777,76.05680
NAGALASSERY,10.76042,76.12202
PATTITHARA,10.79238,76.09295
THIRUMITTACODE,10.74570,76.15870
THRITHALA,10.80323,76.12878
Cherukole,9.34335,76.75401
Elanthoor,9.29070,76.72077
Kozhencherry,9.33780,76.70513
Naranganam,9.31445,76.75433
Chenneerkkara,9.25173,76.73389
Mallapuzhassery,9.31609,76.70949
Omallur,9.23997,76.75535
Ayiroor,9.35118,76.72775
Eraviperoor,9.36699,76.62885
Ezhumattoor,9.39650,76.68265
Koipuram,9.35470,76.67751
