S.no,FPOI ,LAT,LONG,GPs connected,
377,VAZHOOR,9.56643,76.70233,1,
378,BALUSSERI,11.44623,75.84451,1,
379,BALUSSERI,11.44628,75.83499,1,
380,BALUSSERI,11.49668,75.81402,1,
381,BALUSSERI,11.48506,75.77521,1,
382,BALUSSERI,11.45019,75.77129,1,
383,BALUSSERI,11.54002,75.84276,1,
384,BALUSSERI,11.44335,75.87791,2,
385,CHELANNUR,11.35676,75.80733,1,
386,CHELANNUR,11.41843,75.83135,1,
387,CHELANNUR,11.37069,75.86475,1,
388,CHELANNUR,11.35170,75.76138,1,
389,CHELANNUR,11.31314,75.79935,1,
390,CHELANNUR,11.38404,75.82119,1,
391,KODUVALLY,11.36287,75.90977,1,
392,KODUVALLY,11.36570,75.96351,1,
393,KODUVALLY,11.36128,76.01193,1,
394,KODUVALLY,11.34795,76.03899,1,
395,KODUVALLY,11.43207,76.00477,1,
396,KODUVALLY,11.48001,75.97413,1,
397,KODUVALLY,11.40956,75.93529,1,
398,KODUVALLY,11.48615,75.91441,1,
399,KODUVALLY,11.36045,75.88890,1,
400,KOZHIKODE,11.22855,75.83228,1,
401,KOZHIKODE,11.17780,75.86715,1,
402,KOZHIKODE,11.17698,75.83180,3,
403,KUNNAMANGALAM,11.31869,75.94004,1,
404,KUNNAMANGALAM,11.26449,75.89254,1,
405,KUNNAMANGALAM,11.26052,75.95313,1,
406,KUNNAMANGALAM,11.32149,75.99329,1,
407,KUNNAMANGALAM,11.30777,75.88072,1,
408,KUNNAMANGALAM,11.31859,75.85149,1,
409,KUNNAMANGALAM,11.31668,75.99790,1,
410,KUNNAMANGALAM,11.24209,75.88132,2,
411,KUNNUMMAL,11.67634,75.70155,1,
412,KUNNUMMAL,11.65584,75.74798,1,
413,KUNNUMMAL,11.66792,75.75394,1,
414,KUNNUMMAL,11.67802,75.78130,1,
415,KUNNUMMAL,11.64157,75.80608,1,
416,KUNNUMMAL,11.62036,75.70722,3,
417,MELDAY,11.49592,75.62711,1,
418,MELDAY,11.51157,75.62208,1,
419,MELDAY,11.52639,75.65611,1,
420,MELDAY,11.53222,75.71305,2,
421,PANTHALAYANI,11.39810,75.72518,1,
422,PANTHALAYANI,11.42088,75.71211,1,
423,PANTHALAYANI,11.47098,75.64931,1,
424,PANTHALAYANI,11.48693,75.71514,1,
425,PERAMBRA,11.58739,75.76552,1,
